DateTime,Entries,UniqueIPs
1495635680,15451,15451
1495646280,15598,15598
1495657083,15749,15749
1495667886,15896,15896
1495678563,15316,15316
1495685864,15365,15365
1495696649,15403,15403
1495711262,15441,15441
1495721890,15574,15574
1495732669,15751,15751
1495743472,15939,15939
1495754272,16129,16129
1495764971,15609,15609
1495783115,15720,15720
1495793858,15780,15780
1495811870,16000,16000
1495822673,16147,16147
1495833467,16299,16299
1495840669,16398,16398
1495847778,15845,15845
1495865920,15863,15863
1495872969,15884,15884
1495880203,15908,15908
1495889096,16008,16008
1495898285,16212,16212
1495909073,16355,16355
1495919870,16521,16521
1495927066,16601,16601
1495935741,16089,16089
1495945708,16137,16137
1495953198,16203,16203
1495960970,16236,16236
1495971741,16325,16325
1495982016,16399,16399
1495991857,16695,16695
1496002656,16884,16884
1496013456,17053,17053
1496020526,16125,16125
1496030367,16179,16179
1496040634,16241,16241
1496047093,16326,16326
1496054118,16394,16394
1496064733,16531,16531
1496074646,16798,16798
1496085450,16984,16984
1496096251,17151,17151
1496103543,16464,16464
1496121542,16583,16583
1496132757,16668,16668
1496143088,16725,16725
1496150324,16794,16794
1496161007,17071,17071
1496171806,17185,17185
1496182607,17291,17291
1496193438,16534,16534
1496204307,16576,16576
1496215089,16612,16612
1496225847,16662,16662
1496236608,16848,16848
1496247407,16974,16974
1496258202,17070,17070
1496269007,17199,17199
1496279732,16717,16717
1496297940,16751,16751
1496308706,16819,16819
1496319470,16869,16869
1496330131,16962,16962
1496341013,17154,17154
1496351807,17281,17281
1496359007,17368,17368
1496369922,16772,16772
1496391571,16816,16816
1496402271,16928,16928
1496413007,17099,17099
1496423808,17214,17214
1496434607,17340,17340
1496445407,17449,17449
1496456310,16819,16819
1496467558,16908,16908
1496477954,16940,16940
1496488677,16981,16981
1496499415,17108,17108
1496510208,17223,17223
1496521008,17342,17342
1496531809,17444,17444
1496542662,16782,16782
1496553534,16825,16825
1496564298,16855,16855
1496575112,16949,16949
1496585810,17172,17172
1496596608,17308,17308
1496607408,17429,17429
1496618209,17546,17546
1496629065,16742,16742
1496639915,16772,16772
1496650654,16863,16863
1496661506,16923,16923
1496672208,17087,17087
1496683009,17183,17183
1496693807,17280,17280
1496704608,17364,17364
1496712653,16473,16473
1496732055,16546,16546
1496741776,16583,16583
1496749358,16671,16671
1496759336,16725,16725
1496769509,16899,16899
1496780312,17000,17000
1496791112,17108,17108
1496799789,16053,16053
1496806263,16092,16092
1496814942,16118,16118
1496824842,16147,16147
1496835677,16191,16191
1496846458,16277,16277
1496855921,16418,16418
1496866721,16567,16567
1496877525,16788,16788
1496885641,16173,16173
1496903861,16378,16378
1496910399,16513,16513
1496918184,16591,16591
1496928693,16708,16708
1496938717,16967,16967
1496949509,17111,17111
1496956712,17214,17214
1496963912,17283,17283
1496973127,16689,16689
1496990463,16722,16722
1496996817,16788,16788
1497015405,16906,16906
1497025126,17053,17053
1497035926,17141,17141
1497046720,17231,17231
1497053997,16860,16860
1497072893,16934,16934
1497083823,16953,16953
1497092086,17040,17040
1497102330,17081,17081
1497111525,17243,17243
1497122320,17335,17335
1497133118,17442,17442
1497141000,16930,16930
1497159821,16992,16992
1497170588,17045,17045
1497177223,17090,17090
1497184643,17151,17151
1497194370,17291,17291
1497205110,17385,17385
1497215909,17473,17473
1497223127,17531,17531
1497231522,16921,16921
1497246449,16957,16957
1497253034,16975,16975
1497260464,17021,17021
1497271420,17104,17104
1497280734,17298,17298
1497291511,17384,17384
1497302309,17477,17477
1497309508,17549,17549
1497318162,16886,16886
1497328980,16933,16933
1497339677,17018,17018
1497350311,17077,17077
1497357865,17081,17081
1497367108,17228,17228
1497377903,17345,17345
1497388709,17430,17430
1497395908,17477,17477
1497405225,16875,16875
1497411353,16910,16910
1497422063,16938,16938
1497432968,17014,17014
1497443956,17063,17063
1497453514,17156,17156
1497464307,17256,17256
1497475106,17359,17359
1497482305,17439,17439
1497490381,16572,16572
1497499150,16602,16602
1497509511,16633,16633
1497519502,16683,16683
1497530543,16801,16801
1497539904,16900,16900
1497550707,17013,17013
1497561509,17118,17118
1497568706,17178,17178
1497577959,16562,16562
1497602673,16631,16631
1497613752,16688,16688
1497623732,16750,16750
1497633525,16859,16859
1497644330,16951,16951
1497655122,17058,17058
1497663129,16479,16479
1497678294,16506,16506
1497684004,16535,16535
1497692581,16579,16579
1497703213,16603,16603
1497712762,16765,16765
1497723551,16840,16840
1497734355,16907,16907
1497741553,16960,16960
1497751417,16346,16346
1497761206,16368,16368
1497771801,16399,16399
1497790792,16445,16445
1497799879,16514,16514
1497809949,16610,16610
1497820747,16706,16706
1497827949,16779,16779
